h3_cell,num_sinistros,year,month
89818020c47ffff,0.0,2022,6
89818020c47ffff,0.0,2022,7
89818020c47ffff,0.0,2022,8
89818020c47ffff,0.0,2022,9
89818020c47ffff,0.0,2022,10
89818020c47ffff,0.0,2022,11
89818020c47ffff,0.0,2022,12
89818020c47ffff,0.0,2023,1
89818020c47ffff,0.0,2023,2
89818020c47ffff,0.0,2023,3
89818020c47ffff,0.0,2023,4
89818020c47ffff,0.0,2023,5
89818020c47ffff,0.0,2023,6
89818020c47ffff,0.0,2023,7
89818020c47ffff,0.0,2023,8
89818020c47ffff,0.0,2023,9
89818020c47ffff,0.0,2023,10
89818020c47ffff,0.0,2023,11
89818020c47ffff,0.0,2023,12
89818020c47ffff,0.0,2024,1
89818020c47ffff,0.0,2024,2
89818020c47ffff,0.0,2024,3
89818020c47ffff,0.0,2024,4
89818020c47ffff,0.0,2024,5
89818020c47ffff,0.0,2024,6
89818020c47ffff,0.0,2024,7
89818020c47ffff,0.0,2024,8
89818020c47ffff,0.0,2024,9
89818020c47ffff,0.0,2024,10
89818020c47ffff,0.0,2024,11
89818020c47ffff,0.0,2024,12
89818020c47ffff,0.0,2025,12
89818020c6bffff,0.0,2015,6
89818020c6bffff,0.0,2015,7
89818020c6bffff,0.0,2015,8
89818020c6bffff,0.0,2015,9
89818020c6bffff,0.0,2015,10
89818020c6bffff,0.0,2015,11
89818020c6bffff,1.0,2015,12
89818020c6bffff,0.0,2016,1
89818020c6bffff,0.0,2016,2
89818020c6bffff,0.0,2016,3
89818020c6bffff,0.0,2016,4
89818020c6bffff,0.0,2016,5
89818020c6bffff,0.0,2016,6
89818020c6bffff,0.0,2016,7
89818020c6bffff,0.0,2016,8
89818020c6bffff,0.0,2016,9
89818020c6bffff,0.0,2016,10
89818020c6bffff,1.0,2016,11
89818020c6bffff,0.0,2016,12
89818020c6bffff,0.0,2017,1
89818020c6bffff,0.0,2017,2
89818020c6bffff,2.0,2017,3
89818020c6bffff,0.0,2017,4
89818020c6bffff,0.0,2017,5
89818020c6bffff,0.0,2017,6
